,,,TURNOUT,,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of ballots returned by close of poll,Total vote turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,Total number of cases in which covering envelope or contents were marked as 'rejected' ,How many postal votes were returned on polling day  in time to be counted?,How many postal votes were returned via Royal Mail final sweep on Polling day,How many postal votes were returned on the day after polling day before 10pm?,PV statement rejected (No signature),PV statement rejected (No DoB) ,PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned ,Postal voting statement not returned,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,How many people tried to vote on polling day and were unregistered?,,How many recounts ?,How many people were in the queue by 10pm waiting to vote?,How many people joined a queue after 10pm waiting to vote?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,,,"46,354,197","30,697,525",66.22,"30,800,164",66.45,"31,014,319",66.91,,"1,355","26,406","2,453","69,462",175,"102,639",,"7,592,735","6,516,228","26,097","5,719,847","69,240","101,781","6,302,073","148,564","432,452","33,793","27,236","10,336","8,312","20,005","46,840","38,148","16,912","18,984","27,901","149,444","8,901","45,370","12,803",,15,"1,615",23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,,,"45,117,432","29,979,422",66.45,"30,077,292",66.66,"30,290,591",67.14,,"1,126","24,416","2,203","67,162",175,"97,870",,"7,575,632","6,501,516","26,050","5,719,847","69,240","101,781","6,288,217","147,708","432,452","33,793","27,236","10,336","8,312","19,307","46,840","38,148","16,855","18,967","27,818","144,012","8,901","45,370","11,713",,15,"1,615",23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,,"38,736,146","25,570,894",66.01,"25,661,947",66.25,"25,846,124",66.72,,"1,029","22,980","2,058","61,703",175,"91,053",,"6,451,395","5,530,130","23,288","4,828,276","62,218","87,656","5,345,953","125,442","362,942","30,738","15,566","8,382","6,996","16,916","40,625","32,183","15,286","15,581","21,623","120,886","7,599","33,722","8,609",,10,"1,615",23,
Scotland,,,"4,099,532","2,910,465",71.00,"2,914,198",71.09,"2,932,377",71.53,,97,556,83,"3,317",0,"3,733",,"719,955","623,491","1,569","592,557","4,113","8,839","605,312","13,655","43,070","1,696","10,933","1,199",669,"2,034","4,186","3,400",843,"2,822","4,705","17,360",962,"8,457",837,,0,0,0,
Wales,,,"2,281,754","1,498,063",65.65,"1,501,147",65.79,"1,512,090",66.27,,0,880,62,"2,142",0,"3,084",,"404,282","347,895","1,193","299,014","2,909","5,286","336,952","8,611","26,440","1,359",737,755,647,357,"2,029","2,565",726,564,"1,490","5,766",340,"3,191","2,267",,5,0,0,
Northern Ireland,,,"1,236,765","718,103",58.06,"722,872",58.45,"723,728",58.52,,229,"1,990",250,"2,300",0,"4,769",,"17,103","14,712",47,0,0,0,"13,856",856,0,0,0,0,0,698,0,0,57,17,83,"5,432",0,0,"1,090",,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands,,,"3,354,204","2,230,402",66.50,"2,239,211",66.76,"2,257,434",67.30,,157,"2,632",173,"5,847",0,"8,809",,"564,521","488,998","1,780","394,778","2,495","9,467","470,775","12,653","29,255","2,237",667,635,515,"1,193","3,848","3,462","1,779","1,704","1,841","10,150",570,"3,696",721,,3,420,0,
